S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
210B,Tasty Bites - A Clown show,Theater,United States,James Pelican,Clowns On A Stick need help making a Menu of Mirth for audiences hungry for good ole-fashioned clowning.
579C,"UNIVERSITY MALL THEATRES ""Save Our Butts!""",Theater,United States,Daniel Collings,If you help put in new seats you'll...SAVE OUR BUTTS!!!
294B,Launching Books Non-Destructively: New Anomalous,Publishing,United States,Anomalous Press,"Six amazing, some emerging authors with books ready to be made flesh. Well, paper."
72B,Aint-Bad Magazine,Publishing,United States,Aint-Bad Magazine,"Aint-Bad Magazine is a quarterly art journal focusing on images that discuss human existence, culture, and contemporary issues."
406B,Two Little Girls,Theater,United States,Spencer Novich,A survival guide by two little girls portrayed by two grown men who currently perform with Cirque du Soleil and Le R̻ve.
547C,The Quiet Way at the HOT! Festival,Theater,United States,Casey Llewellyn,A play to find freedom within the confines of language. A landscape to be entered and the scraping of the self against the outside.
392B,The Godot Cycle,Theater,United States,Yes Let's Go Prod.,Beckett's masterpiece looped endlessly. No intermissions. No breaks. No stopping. 2 marathon performances: 30 & 54 hrs.
199B,Puppet Shakespeare: Puppet Romeo & Juliet DVD Project!,Theater,United States,Puppet Shakespeare Players,We want to share our unique style and approach to Shakespeare with the world. Help us do it!
475B,THE VIVIAN GIRLS: A play with music.,Theater,United States,Stacy Sims,Help us workshop our Henry Darger-inspired play with music in New York with a work-in-progress event at the American Folk Art Museum!
18,This Was Not Part Of The Masterplan,Nonfiction,GB,Barrie Sharpe,I am looking for finance to print a cloth covered limited edition hardback book. I cannot do this without your help.
533C,Pulling Back the Curtain: The Long Red Herring by Pat Cook,Theater,United States,Jim & Annie Mayer,A project to explore what it takes to make theatre happen through the design and production of a murder mystery play.
93,The Origin(s) Project: THE REMOUNT,Theater,United States,Sun Mee Chomet,THE Origin(s) Project: Memoirs in Motion - Two one-woman shows from the adult adoptee perspective.
318C,#CLOUD$ - a modern adaptation of Aristophanes' Clouds,Plays,United States,Brittany Johnson,Recently under fire for its cheeky and contextual revisiting of an ancient comedythis show has lost funding and needs your support!
369B,Alan: A Book About What it Means to Exist,Fiction,United States,John Hex Carter,Alan is a book about the world's first artificially intelligent program and learning where that program fits in among the world.
578C,"Hitting the Ground, a Violent Femmes Musical",Musical,United States,Matt Williams & Gregory Victor,First reading of a new musical featuring the songs of the Violent Femmesone of the most popular alternative rock bands of the 1980's.
